title,selected
"A Company Is Hoarding What It Took From Cancer Patients, And That's Not OK",0
"73% Of Americans Want This To Happen But Think They Don't",0
"A Truly Absurd PSA With Zombies Makes No Sense Until You See The End. Then It's Awesome.",0
"Australians Restrict Travel at Olympics",1
"Makers of Paper App Ask Facebook to Change Its New App Name",1
"WATCH: This Is One Time-Lapse Big Oil Doesn't Want You To See",0
"5 Myths About Our Schools That Fall Apart When You Look Closer"0
"The Weeks Mens College Basketball Games to Watch",1
"The Problem Isn't Racial Profiling In Stores. It's Just That People Don't Know How To Shop!",0
"Friends Don't Let Friends Drive Drunk. But They Do Let Them Think They've Been In A 10-Year Coma.",0
"Heres Pete Seeger Doing One Of The Songs He Loved So Much"0
"I Wonder If Anyone That Rich Thinks, 'Yeah, I Need All This Money. All. Of. It.'",0
"Welcome To That One Time When Youre Thrilled That Kids Look Up To A Gang"0
"10 Reasons That Just May Convince Anyone That Science Is Awesome"0
"BowlesSimpsonism",1
"A Dude Dresses Up As Captain America And New Yorkers Cant Even Handle It"0
"Murray Propels Britain to a Rare Win Over the U.S.",1
"A Boyish Style Works Just Fine for the Man With the Leagues Best Defense",1
"How Some Tweets Sparked A Movement That Launched An App That Might Just End Sexism In Advertising"0
"A Kid Came Up To Her In The Hall And Told Her She Saved His Life. He Wasnt The Only One In Tears."0
"WARNING: This Type Of Dancing Can Lead To Severe Empowerment And A Strong Connection With Others"0
"Why Does Europe Always Do Things Better? Washing Machines, Public Transport, And Now  Economies?'",0
"Alvin Ailey to Return to Koch Theater in June",1
"A Boy Was Born Without A Hand. I Couldn't Have Guessed What His Dad Made For Him. Mind: Blown!",0
"The 6-Letter Insult That Certain Parents Stop Using Immediately"0
"Marlins Minor Leaguer Is Suspended",1
"A Famous Actor Asks 6,000 Kids For Help. The Result Is A Different Kind Of Scientific Breakthrough.'",0
"Alive With a New, Old Liver'",1
"I'm So Used To TV Personalities Making Excuses For Offensive Segments That I Didn't Expect This",0
"Law Doesn't End Revolving Door on Capitol Hill ",1
"Corruption Costs European Union 120 Billion Euros a Year, Study Finds'",1
"At Work in Subzero Temperatures",1
"A Straight Reporter Says, 'I'd Be Offended By You If I Were Gay.' This Actor's Response? Epic.",0
"So, You're Telling Me You Don't Like The Way You Think I Have Sex? 'Cause That's All I'm Hearing.",0
"Growing Up, He Was Told That Folks Making His Clothes Were 'Being Taken Care Of.' He Had No Idea.",0
"The Embarrassingly Easy Thing We Could All Do To Make The World A Better Place, Like, Tomorrow'",0
"Head Doctor Says A Rich Kid Isn't Guilty BECAUSE He's Rich. Reporter Says What We're All Thinking.",0
"Read The Witty Suggestion An Advice Columnist Gives To A Homophobic Parent"0
"Heres Some Prison Food That Actually Isnt Also Being Used To Punish Inmates"0
"Only 15 Out Of The 566 Nobel Prize Recipients Have Been Women, And Other Terrible Facts'",0
"Unlikely Allies Seek to Check Power of Activist Hedge Funds ",1
"A Lonely Bet Against Portugal's Debt",1
"Selling One School Building to Pay for Another in a Poorer Area",1
"Ethical Concerns Hit Oscar Races",1
"These Little Girls Are Asking The Most Devastating Question I Can Imagine"0
"Someone Put 2 Examples Of Anti-Science Politics Side-By-Side. The Results Are Damning."0
"Ringing in the Chinese Zodiacs Year of the Horse",1
"Letters to the Editor",1
"So You Can Show The Strangest Thing I've Ever Seen Inside A Woman's Body On TV, But Not A Breast?",0
"New Ads Urge Northerners to Follow the Sun",1
"2 Sentences Repeated Over And Over Get Funnier Every Single Time"0
"What We Think About This Issue And What Is True Are 2 Different Things"0
"Lisa Udelson and Chris Nee",1
"Bernanke Takes Post at Brookings Institution",1
"Pictures of the Day: Australia and Elsewhere",1
"They're Not Rich Or Famous, Heroes Or Victims. Just 2 Really Cool Ladies Doing Their Badass Thing.",0
"'Ugh, Food Stamps Are For Lazy Freeloaders!' Well, Let's Look At The Facts.",0
"Philip Seymour Hoffman Said to Be Found With Syringe",1
"A Store Clerk Pranks Customers, And I Can't Help But Love Him For It",0
"401 Places You Love That Are Still Struggling After The Government Shutdown"0
"The Other Pre-Game Show",1
"Should Sports Betting Be Legal Everywhere?",1
"The Hilarious Beer Commercial No Brewery Wants You To See"0
"The Day After His Dad Dies, He Waits Until The End Of His Show To Tell Us About It. Just Beautiful.'",0
"Weber Caps Late Rally to Lead Predators Over the Devils",1
"These Two Leap to Judgment (Not That You Should, Too)'",1
"This Addiction Has Only Been Around For A Little While, But It's Hurting Our Generation",0
"This Aggressive, Combative, Negative Speech Is Somehow Incredibly Motivational'",0
"Some People Call It 'The Best Anti-Smoking Ad Ever.' After Watching, I Might Be One Of Them.",0
"Times Minute | Making Snow for Sochi",1
"Fill In The Blank: Nice Guys Finish ____. Nope, Not After What You're About To See.",0
"Something Really Insane Just Happened In Congress, And You Probably Haven't Heard A Word About It",0
"His Piano Playing Is Beautiful. Im Glad He Has Somewhere To Play It Now."0
"One Of The Biggest Hell-Yeah Moments In Modern History, Told In 4 Minutes'",0
"British Nuclear Reprocessing Plant Detected Elevated Radiation Levels",1
"Most Americans Are 5 Generations Removed From Something That Used To Be All Around Us"0
"What Warren Buffett And Bill Gates Think Is 'Very Unfair' Might Shock You",0
"You Think His Big Brother Will Fight The Attacker. Then There's A Shockingly Beautiful Twist.",0
"The Governor Is Proud Of His Budget. This Student Wants To Teach Him A Lesson."0
"6 Guys Challenge Decades Of Stereotypes Using Only A Whiteboard And A Marker"0
"Letter From France | How to Visit Some of Paris's Finest Museums but Skip the Crowds ",1
"Some People Talk About Shedding Unwanted Weight In 2014, But Here's What's Infinitely More Important",0
"WATCH: An Alternate-Universe Audition Gets A Little TOO Real For This White Guy"0
"So A Dirty Joke And A Hilarious Muslim Feminist Walk Into A Bar..."0
"Theres A New (Old) Way To Think About Money. Are You Ready For It?"0
"'Wolf's' Writer Avoids His Own Spoiler Alerts",1
"A Crooning Toilet Is Going To Raise Your Standards For What It Means To Be A Potty Mouth"0
"A Senator Said Voter Registration Was 'Confusing.' Watch A 12-Year-Old Clear That Up For Him.",0
"Golden Eyes",1
"True South | New Orleans Dining, High and Low'",1
"1/3 Of Women With Speaking Roles In Movies Are More Likely To Be  Naked?"0
"A Husband Took These Photos Of His Wife And Captured Love And Loss Beautifully"0
"If Your Work Or Home Life Involves Sitting, You Really Should Watch A 3-Minute Clip About ... Well, Sitting!'",0
"Times Minute | Disposing Libya's Weapons",1
"If You Tell This Dude To 'Man Up,' You Better Be Prepared To Learn Why What You Said Is Awful",0
"This Is Cesar Chavez. If You Havent Heard Of Him, Perhaps Its Time You Did.'",0
"Demography and Employment (Wonkish)",1
"Heroin Scheme to Support Terrorism Is Foiled, India Police Say'",1
"It's Not A Ghost Or An Alien. It's Real, And It's Way Scarier.",0
"Look At These Beautiful Women, Then See How Much Photoshop This Fashion Magazine Chose To Use'",0
"Theodore Millon, a Student of Personality, Dies at 85'",1
"Academy President Defends Ruling on Song",1
"Its Like Visually Delicious Stuffing For Your Brain: An Animated Thanksgiving History Lesson"0
"A Little Kid Explains A Solution To Reducing Gun Violence. Makes Sense To Me."0
"Sudan Tells Red Cross to Halt Work ",1
"Ask the Author: Economics and Online Dating",1
"Lady Stereotypes, Right After Your Commercial Break Full Of Female Stereotypes'",0
"These People Need Help. Whatever Your Political Affiliation, I Think You'll Agree We Owe It To Them.",0
"What Some Kids Do Because They're Hungry ... I Have No Words",0
"Hard To Believe The Woman At The End Of This Video Is The Same Woman As At The Beginning"0
"Wow, Here's A Scarily Simple Way To Sabotage Your Life And Everyone's Around You",0
"When I Figured Out What This Girl Is Doing, I Felt Sick To My Stomach'",0
"We May Tell Our Kids That Life Isn't Fair, But We Should Actually Listen To Them Talk About Fairness",0
"Some People Call Violence A Disease. So These People Came Up With A Treatment."0
"You Might Know Him For His Music, But There Is A Lot More To Know. And It Might Surprise You.'",0
"College Basketball: Days Story Lines",1
"Here Is How One Artist Captured The Fragility Of An Abusive Relationship"0
"If You're Living In A Developed Country But You're Not Happy, What Are You Doing Wrong?",0
"Macroeconomic Populism Returns",1
"The Subliminal Message In So Many Animated Kids Movies And Shows Isnt About Violence"0
"The Video That Will Reveal To Your Children What A Marshmallow-Prejudiced Hypocrite You Are"0
"Something Absolutely Terrible Just Happened To The Internet. Here's Why.",0
"Why Youll Be Telling Your Kids About The Days When We Used To Have Electricity"0
"Watch A Celebrity Do 4 Really Stupid Things In Less Than A Minute To Prove A Really Smart Point"0
"Video Notebook: Peyton Manning",1
"Next Time You Check The Tags On A New Shirt, You May Also Want To Check For This'",0
"The One Where A Woman Keeps Repeating A Hurtful Term That's Been Hurled At Her For Her Entire Life",0
"1 Out Of 3 Women Live On The Edge Of Something Terrifying"0
"An Awesome Day at 81",1
"Obama Is Said to Plan Fence-Mending Trip to Saudi Arabia",1
"A Doctor Has Spent Decades Dressing Up Like A Homeless Man. The Reason Is Fantastic."0
"Kravis and Gordon Gekko at the Super Bowl",1
"He's The Only One In His School. Instead Of Feeling Special, He Gets Bullied Everywhere.",0
"See How A Bunch Of Awesome Danish People Made An Immigrant Bus Driver's Day",0
"A 15-Year-Old Ad About Racism Is A Great Reminder Of The Power We All Have To Promote Justice"0
"They Did It 86 Times To Every Other President Combined. 82 Times To Obama Alone."0
"British Regulator Warns Two of Potential Libor Charges ",1
"Some Creepy Dudes Said Some Creepy Things To This Scientist. So She Is Addressing Them In Public."0
"Philip Seymour Hoffman, Actor of Depth, Dies at 46'",1
"There Are People In Our Lives Who Are So Good At What They Do, You Never See Them. Heres One Story.'",0
"The Middle Class Is Steadily Eroding. Just Ask the Business World.",1
"Disney Introduces A Gay Couple On A Kids' Show, Confusing Children Everywhere. Wait, No...",0
"Watch The Spread of Walmart Across The Country In One Horrifying GIF"0
"A Pro-Business Stance Thats Bad for Business",1
"Fight Over Effective Teachers Shifts to Courtroom",1
"India's 1st Monorail Opens in Mumbai to Much Fanfare and Doubt",1
"11 Things To Keep In Mind Before Dating A Black Woman. The Last One Is Definitely No Joke."0
"A Woman Pointed Out Sexism And The Internet Exploded. But When A Dude Says It..."0
"Funds Meant for Charters May Be Diverted to Pre-K",1
"70 Years Ago, She Dreamed Of Freedom. 30 Years Ago, They Threw Her In Jail. She's Still Fighting.",0
"A Summary Of McMinimum Wages And McWelfare In One Hilarious Clip"0
"Russell Brand Speaks Candidly About America's Habit Of Creating Terrorists",0
"'Witness Uganda' Wins Richard Rodgers Award for Musical Theater",1
"Jody Greenstone Miller, on Not Overselling the Job Ahead'",1
"New Opposition Alliance Founders in South Africa",1
"The Food Stamp Scandals That Nobody Is Talking About On Either Side"0
"What's Behind the Declining Abortion Rate?",1
"If You Thought Someone Couldn't Explain Empathy With A Dry-Erase Marker, You're Wrong",0
"Even Out of Office, a Wielder of Great Power in Yemen'",1
"I Never Knew American Health Care Was A Lottery Till I Saw What This Guy Had To Say"0
"Pictures From the Week in Business",1
"Luis Aragons Is Dead at 75; Coached Spain to Prominence",1
"It's Time To Stop Saying 'Like A Boss.' Swedes Are Way Cooler.",0
"Shiffrin Hits Rare Bump on Way to Olympics",1
"Lady Friends, Here's A Simple Question You Shouldn't Have To Ask Your Doctor",0
"Sick Of New Year's Just Being About Sparkles And Confetti? Here's A Story Worth Listening To.",0
"Good Luck Finding A More Polite Takedown Of Climate Change Deniers"0
"Stir-Fried Rice Noodles With Beets and Beet Greens",1
"U.S. Luger Must Deal With Grief, but She Has an Example to Follow'",1
"Once Upon A Time, 1 Guy Decided To Change 3 Lives. It's Not A Fairy Tale  It's Real Life.",0
"Today in Small Business: GoldieBlox",1
"The Reality Of What Food Stamps Cost All Of Us In One Incredibly Simple Graphic"0
"Love Was Taken To Court In Australia, Won, And Ate A Piece Of Marriage Equality Cake In The Process'",0
"This Man Helped Me Make A Huge Lifestyle Decision 20 Years Ago. His Message Is Still Spot On Today."0
"Reopening an Employment Door to the Young",1
"After Typhoons Devastation, a Philippine Town Is Losing Those Who Could Rebuild It'",1
"A Fashion Designer Uses Her Mannequins To Send A Message That Hurts"0
"While We Werent Looking, 1.3 Million People Just Got The Shaft. Happy New Year.'",0
"It's Hard To Speak About These Things In Public. So He Drew This Instead.",0
"My 'English Only!' Father-In-Law Is Going To Hate Me For Finding This One",0
"What Should Have Been A Heartwarming Kiss On A Skating Rink Has Never Been More Chilling"0
"I Wish 1 in 3 Women Didnt Have A Personal Experience With The Topic Of This Poem"0
"ScienceTake: Fight Club for Flies",1
"5 Halloween Posters That Hit A Little Too Close To Home..."0
"As Gaming Halls Make a Comeback, a Crackdown Loses Steam'",1
"Watch What This Make-Believe Girl Means To 1,000 Sexual Predators'",0
"You Don't Use The 'N' Word. Why Do You Use The 'R' Word?",0
"This Is The Easiest Way To Explain Equal Pay For Women. And Maybe The Funniest."0
"Presidential Elections in El Salvador and Costa Rica Go to Runoffs",1
"Students Of New York City Tell Their New Mayor How Standardized Testing Squashes The Learning Bug"0
"Dear Men: You'll Feel Awkward For The First Couple Of Weeks, But It's All Worth It, I Swear",0
"Image of the Day: February 3",1
"Callahan Trade Talk Overshadows Victory",1
"How A Little Paint On The Side Of A New York City Building Can Help Change A Life Forever"0
"True South | New Orleans Dining",1
"A Supersize Celebration in Manhattan",1
"Gyora Benedek's Hidato",1
"Carl Sagan Tries To Explain Evolution To An Argumentative Guy"0
"Daily Report: Engineers Race to Improve the Battery ",1
"Not Quite 75 and Sunny, but a Mild Day Dispels the Worries About the Weather '",1
"An Off-Duty Cop Gets Thrown Up Against A Wall And Frisked"0
"READ: A Fancy Science Guy Put Some Of The Most Important, Complex Facts Of Our Time Into Haikus'",0
"Your Daughter May Be Rebellious, But At Least She's Not Leaving Dead Villagers All Over The House",0
"53 Miles Of Fence, $1 Billion, And Sensors That Cant Tell Cattle From People...'",0
"I Am Livid That A Magazine Did This To Jennifer Lawrence, And My Guess Is She Is, Too'",0
"Stir-Fried Soba Noodles With Shiitakes and Baby Broccoli",1
"Haterade Got You Down? Here's A Tall Glass Of Sweet Encouragement Juice Instead",0
"Most Of These People Do The Right Thing, But The Guys At The End? I Wish I Could Yell At Them.'",0
"As Manchester United Flails, Its New &#8216;Chosen&#8217; Manager Is Feeling the Strain'",1
"Syrian Helicopters Drop Barrel Bombs on Aleppo",1
"One Of Matt Damon's Finest Performances Was Never In Theaters",0
"I Wish I Were More Surprised At What A Student Exposed About His School, But I'm Not",0
"They Werent Happy With What She Said. So She Said It Again."0
"Here Is A Surprising War On Women That Wont Go Away"0
"When No One Is Just a Face in the Crowd",1
"The Secret Weapon A Woman Created To Save Herself From The Brink Of Suicide"0
"When America's Sweetheart Asks Us To Stop Using This Word, Should We Listen?",0
"North Korea Agrees to Talks on Reunions",1
"Folks Who Work In Tipped Jobs Would Like You To Spend A Minute Looking At Something"0
"People Have Been Driving Around Like Idiots For A Long, Long Time'",0
"By Design | Magic Carpets",1
"Womens Race Added to Tour de France",1
"This Is What Happens When You Let Politicians Write Their Own Rules"0
"Give Malta Your Tired and Huddled, and Rich'",1
"An Awesome History Of Money In Politics In 3 Delightfully Nerdy Minutes"0
"1959: Oslo's Worry: What Will Tourists Think? ",1
"China to Ramp Up Military Spending",1
"If More People Knew The Secrets Those In Power Keep From Us All, We Would Toss Them Out On Their Ear'",0
"'How Old Are You' Is The Simplest Question Ever. So Why'd It Ruin An 11-Year-Old's Life?",0
"As the Latest Christie Story Evolved, The Times Should Have Noted a Change '",1
"Kicking Off the Lunar New Year",1
"I Can Think Of A Few World Leaders Who Would Benefit From Watching This Video"0
"Holocaust by Bullets",1
"Give the Data to the People",1
"Sunday Breakfast Menu, Feb. 2'",1
"Mitch Landrieu Is Re-elected Mayor of New Orleans",1
"If You Ever Wanted The Great Novels Explained To You By Your Thug Friend, Now's Your Chance",0
"A Master of Percussion, in Its Sounds and Gestures'",1
"A Typhoon Hit His Country  Now Hear His Tearful Plea To The World"0
"Math Is Astoundingly Beautiful, And We've Found The Video To Prove It",0
"She Lied To Herself Every Night For A Year. Here's What Happened When She Was Honest.",0
"Watch 2 Dudes Bring A Trolley Full Of People To Rousing Applause"0
"Muti Signs New Contract With Chicago Symphony Orchestra",1
"A Church Told A Pastor That He Couldn't Preside Over His Son's Wedding. He Responded Like A Dad.",0
"Psst ... Wanna Buy Some Stuff Right From The People Who Make It?"0
"I Loved The Pretty Dots On This Map ... But Upon Further Inspection, I Felt Sick To My Stomach'",0
"One Minute You're Walking Down The Street. The Next, You're Arrested And Jobless. What Did You Do?",0
"In America, Having A Blended Family Isn't A Big Deal. For This Woman In India, It's Huge.",0
"Remember When Music Videos Used To Mean Something? Some Still Do."0
"On View | Fashion's Fertile Ground for Inspiration: Gardens",1
"Video Notebook: Britton Colquitt",1
"Wheelies: The Small Car Smashup Edition",1
"When You Can't Afford To Buy The Sandwich You Just Made On The Job, There Is Something Wrong Here",0
"Kerry and Hagel Defend U.S. Engagement Abroad in Face of Criticism",1
"Utah: Ex-Scout Leaders Face Charges in Dislodging of Ancient Rock",1
"Trying to See Apple From a Different Angle",1
"Enlisting Dad to Find a First Bra",1
"Hes Pete Carrolls Guardian Tweeter",1
"Venture Will Mine Twitter for Musics Next Big Thing",1
"Here's What Millennials Need To Consider When They Finally Get That Job",0
"These Kids Finally Say What They Really Think About Mom. And Her Reaction? Priceless."0
"Friends Are Nice, but Their Checks Are What Matter'",1
"Environmental Benefits Aside, This Looks More Pleasant Than Honking And Yelling Out The Window'",0
"A(nother) Legitimate Reason To Detest Modern Pop Songs"0
"Watch 2 Police Officers Have Very Different Reactions To A Bunch Of Children Protesting The Law"0
"Stir-Fried Brown Rice With Red Chard and Carrots",1
"Here Are Just 3 Of The *Smaller* Lies SeaWorld Makes Its Employees Tell Its Guests"0
"SAC Fashioning a New Identity",1
"No Mother Should EVER Have To Make Such A Powerful Speech About Her Son"0
"Everything You Always Wanted To Know About The Way Hasidic Jews Look But Were Afraid To Ask"0
"Before You Say Corporations Don't Do Anything Good, Check Out Who Got These Dogs A Home",0
"With Fortune Falling, a 1 Percent Divorce'",1
"Making Surveillance a Little Less Opaque",1
"N.F.L. Honors",1
"Phoning From Prison, at Prices Through the Roof'",1
"U.S. Stumbles in Davis Cup",1
"This Ad From India Shows Men Exactly How Creepy They Are When They Stare At Women On The Street"0
"Scribbling in the Margins",1
"Friday Night Music: Arcade Fire, Normal Person'",1
"Phedon Papamichael",1
"The Pay of Workers Who Rely on Tips",1
"The Super Bowl and Sex Trafficking",1
"A Student Explains What's Wrong With Our School System And Why We Mistrust Teachers. Nails It.",0
"Watch An Entire Team Of Teenage Football Players Do Something Very Unexpected"0
"Philip Seymour Hoffman, R.I.P.'",1
"A Lot Of People Find It Hard To Talk To Laura. So She Put Together 4 Easy Tips."0
"Black Girls Code. Simple Name, Revolutionary Premise.'",0
"Violence in Central African Republics Capital Alarms Red Cross",1
"Dear Sexist Music Industry  Here Is Janelle Monae Giving You Some Real Talk"0
"What You Can Expect From Africa Isn't What Many Of Us Have Been Taught To Expect From Africa",0
"All It Takes Is 30 Seconds For This 6-Year-Old To Go From Adorable Child To Psychopathic Hit Girl"0
"I Can't Even Assemble An Ikea Dresser With Instructions, And This Kid Built A Dang Windmill",0
"The Massive Corporate Power Grab You're Not Supposed To Know About",0
"Teaching Kids How to Eat",1
"A Catalog That Believes Reality Can Sell Clothes Better Than Photoshop"0
"Nocturnalist at the Super Bowl | An Extraordinary Hassle for an Extraordinary Party",1
"On the Verge | A Star Is Born",1
"The Kind Of Prison You Really, Really, Really Dont Want To Go To'",0
"He Was About To Take His Own Life  Until A Man Stopped Him. Here He Meets Him Face To Face Again."0
"Taking Cover in Thailand",1
"Think Gen Y's Lazy? I'mma Print This Chart, Origami It Into A Mustache, And Stick It On Your Face.",0
"Remembering Nodar",1
"This Incredible Time-Lapse Shows Us How Dignity And Respect Can Change A Man"0
"Severe Drought Has U.S. West Fearing Worst",1
"Yeah So If You Could Not Ban People From Having Sex, That Would Be Great'",0
"Imagine Trying To Pay Bills On Little Money. Then Imagine They Want To Take Half Of That Away."0
"These Badass Kid Skaters In Ethiopia Are Awesome"0
"'Girls' Recap:  Kicked Out of a  Funeral",1
"A Visualization Of World War II Like You've Never Seen Before",0
"Your Favorite Childhood Pastime Has Been Upgraded For Maximum Awesomeness"0
"This Is Quite Possibly The Greatest Way To Learn CPR"0
"A World Gone Mad (For Cows)!? Bad Beef Bacteria And Cow Poo Climate Change."0
"Two Famous Nice Guys Discuss One Of America's Not-So-Nice Problems",0
"To The Men Who Mistreated These Women (And Their Mothers): You. Just. Got. Burned."0
"Oops! Poor Language You Might Be Guilty Of Using Without Even Realizing"0
"The Authorities In Egypt Want To Ban This Documentary. See Why."0
"An Unconventional Path to Scripting the Broncos Offense",1
"Canada May Have to Go to Olympics Without Lightnings Stamkos",1
"Big-Band Lover Has a Second Houseful of Old Songs",1
"Fiat-Chrysler Merger Spawns New Logo",1
"Bill Nye Is Too Busy Saving The World To Say, 'I Told You So'",0
"With Songs That Matter Like This, I Know Why This Country Singer Has A Grammy'",0
"In 3 Minutes, He Nails What No One Wants To Hear About Those Canceled Health Plans'",0
"From Today's Paper: A Volcano's Calling Card",1
"Word of the Day | caption",1
"Corrections: February 2, 2014'",1
"In Our Pages: February 4",1
"Montagu to Buy Bulk of Rexam's Health Care Business ",1
"Yeah, But She Didn't Think She'd End Up In Prison Either",0
"Can Somebody Please Explain How This Isn't Illegal?",0
"Toil and Trouble",1
"A Kid Says Something To A Teacher That No One Should Have To Experience"0
"A Whole New Way To Think About Stress That Changes Everything We've Been Taught",0
"Have You Ever Looked At The Sexy Costumes Women Wear And Think They Don't Go Far Enough?",0
"Watch What Matthew Perry Says When A Dude Says His Drug Addiction Is His Choice"0
"We Use It Every Day ... Even Though It's Just About As Dangerous As Cigarettes",0
"How Being A Douchebag Still Seems To Be Absolutely OK In America"0
"You Don't Care About Your Privacy, And Kim Kardashian Proves It",0
"Super Bowl Sideshows Starring Puppies, Kittens and Fish'",1
"I Thought This Was A Country That Put Kids And Families First?"0
"Obama Is Tackled by OReilly in Pre-Game Interview",1
"Leave It To A Religious Leader (Yup!) To Make A Totally Perfect Argument For LGBT Rights"0
"The Simple, Beautiful Gesture That Can Turn A Crowd To Love Instead Of Hate'",0
"He's One Of The Best Video-Game Race Car Drivers (Yup, That's A Thing). Watch Him Drive Drunk.",0
"N.F.L. Off-Season Could Bring Changes on Rules of Hazing",1
"A Little Girl Who Isn't Allowed To Play Outside, And The Startling Reason Why",0
"Broncos Disappoint the Bettors, but Not the Sports Books'",1
"Super Bowl Slide Show",1
"How Precious Is Your Spit To You? Because To Him, It's Potentially Life-Saving.",0
"If Someone Did This To Your Food, You Would Probably Try To Get Them Fired Too'",0
"Sharapova Loses in Paris",1
"The Sound of a Tree Falling Is Not Ka-ching",1
"Get Some Sleep, and Wake Up the G.D.P.'",1
"Every Person On Earth Is Supposed To Have These. But What Are They Exactly?"0
"Stunned by Tragedy, a Village in Rural Quebec Turns Inward'",1
"NAILED IT: This Ad Calls Out 5 Ridiculous Double Standards Women Face In Less Than 60 Seconds"0
"Test Yourself | E.L.L. Practice, Feb. 3, 2014'",1
"The Video You Need To See Before You Spend Another Second Arguing About Health Care"0
"Herbalife Increases Share Buyback Plan",1
"No Comment Necessary: Coca Cola's Super Bowl Ad",1
"Dylan Farrows Story",1
"If I Had A Hammer, I'd Nail This Pete Seeger Interview To My Wall",0
"They Don't Trust The Media. So These Unconventional Reporters Are Telling Their Story.",0
"Farmers These Days Look Different Than They Used To. We Can Thank This Photographer For Noticing."0
"How Would It Look If Vaccines Were Advertised Just Like Prescription Drugs?"0
"What It Looks Like When The Concept Of Who The Moochers Really Are Is Turned Upside Down"0
"An Effect Of Discrimination You Might Have Suspected But Have Never Seen Proven. Until Now."0
"The New Bern Raid",1
"The Way This Poet Talks About Manhood Has Me Questioning Exactly What It Is"0
"What An Actor Said To Ellen Is Something I Wish More Men Would Talk About"0
"A 20-Something Guy Goes On And On About Sex For 6 Minutes. Nails It."0
"A Sarcastic Ad About Charity That Is So On Point I Wish I Could Fist-Bump Ads"0
"Super Bowl Underscores the Big Business of Must-See, Live TV'",1
"A Souvenir and a Memory",1
"Richard Grossman, Crusading Publisher of 1960s, Dies at 92'",1
"Detention and Deportation",1
"U.S. Skates to 6th Place in Bandy Tournament",1
"What One Guy Has To Say About Our Country's Obsession With Buying Stuff Is A Huge Reason To Stop",0
"Watch The Moment Angelina Jolie Stands Up For Women Worldwide To The UN"0
"Markets Sink as Manufacturing Data Weighs on Investors",1
"Warm Weather, Cold Manning at Super Bowl'",1
"More Than 93 Percent Of Americans Totally Want This To Be Legalized. (And It's Not Weed.)",0
"A Comic That Might Cause You To Realize Other Countries Contain Actual People"0
"In What World Is It OK To Open A Bank Account In A Strangers Name? Oh Yeah, This One.'",0
"Changing Circumstances, Graphed'",1
"Student Kills 2 at Moscow School",1
"Yet Another Reason To Question The Thing We Spend 3 Billion Hours A Week Doing"0
"Finding the Discipline to Say No to Customers ",1
"Unionized College Athletes?",1
"L. Ron Hubbard's Great-Grandson Spills The Family Secrets On How Scientology Started. Eek.",0
"733 Iraqis Killed in January, U.N. Reports'",1
"A Firefighter Went To Put Out A Fire, But He Had No Idea He Would Be A Hero Of A Different Kind'",0
"Mass-Transit Super Bowl Hits Some Rough Patches in Moving Fans",1
"Her Husband Won A Nobel Prize. But She Just Became A WAY Bigger Deal."0
"Aid Groups Warn of Food Crisis in Mali",1
"'Gravity' Cinematographer Wins Peers' Award",1
"Come For The Adorable Orangutans. Stay Because There Is Something You Should Know About Them."0
"So Full Of #Win  A Brilliant Young Lady Talks To Stephen Colbert About #FastFoodStrikes"0
"Oh Snap! Cate Blanchett Asks E! Why They Filmed Her Like That But Not The Men."0
"Former BBC Executive Apologizes for Failure of Digital Project",1
